,Marker,AUC_mean,AUC_std,AUC_sem,AUC_range
0,wSMI_1_mean,0.45484259506969416,0.027240973544079557,0.013620486772039779,0.06979951320701044
1,wSMI_1_std,0.4286026286839077,0.046914606559062356,0.023457303279531178,0.11815176084839002
2,wSMI_2_mean,0.5450167427680818,0.014408704278978779,0.0072043521394893895,0.03822463978779811
3,wSMI_2_std,0.5249354594256892,0.04880029068736125,0.024400145343680624,0.11802967088374305
4,wSMI_4_mean,0.49957788572062434,0.012288850335590726,0.006144425167795363,0.03432683709490203
5,wSMI_4_std,0.47303231905686877,0.0393351298789994,0.0196675649394997,0.09398050621580917
6,wSMI_8_mean,0.48606666819236977,0.017078979669181503,0.008539489834590751,0.0423385603160884
7,wSMI_8_std,0.5100940497384285,0.047452231115864135,0.023726115557932068,0.12033198868641914
8,p_e_1_mean,0.5242834455581151,0.029216398827572695,0.014608199413786348,0.07740050211960325
9,p_e_1_std,0.5017045609964859,0.04480440486509502,0.02240220243254751,0.09813151009179644
10,p_e_2_mean,0.4746921028171813,0.02417715022127698,0.01208857511063849,0.05942023020674703
11,p_e_2_std,0.4947965369859739,0.04827529144615193,0.024137645723075966,0.1182766047934587
12,p_e_4_mean,0.5093007035748041,0.03243765104604961,0.016218825523024807,0.09120330356285422
13,p_e_4_std,0.5027334699262633,0.07776179336804916,0.03888089668402458,0.20675807683427172
14,p_e_8_mean,0.4783950803331852,0.028170040083801202,0.014085020041900601,0.07523802197336926
15,p_e_8_std,0.4817202161701933,0.043467396473662386,0.021733698236831193,0.11967399182822869
16,k_mean,0.43914938626710975,0.03984102842332343,0.019920514211661716,0.10766980729545439
17,k_std,0.4888757638424043,0.017573220722893117,0.008786610361446559,0.043774796741778976
18,se_mean,0.44913832525856046,0.02495505650469249,0.012477528252346244,0.0636484070097475
19,se_std,0.5116428355875786,0.03395057878601951,0.016975289393009754,0.08911525428379363
20,msf_mean,0.4919716900698292,0.06710562008131292,0.03355281004065646,0.17983015735824726
21,msf_std,0.4752635655226908,0.06182192827247052,0.03091096413623526,0.16282213386808164
22,sef90_mean,0.5174104072622361,0.020689515256050776,0.010344757628025388,0.05079782322913229
23,sef90_std,0.5371828481740434,0.07484504251146769,0.037422521255733844,0.20857370649566448
24,sef95_mean,0.485948040839441,0.05296581723117215,0.026482908615586075,0.14155207232898215
25,sef95_std,0.5499619742844963,0.030828957899445352,0.015414478949722676,0.07742635242716994
26,b_mean,0.5033969480483637,0.04329496765530856,0.02164748382765428,0.09722683640911006
27,b_std,0.534433628778654,0.08462130967387041,0.042310654836935205,0.23918250366781535
28,b_n_mean,0.470106931306978,0.03705949597887132,0.01852974798943566,0.08771688559266483
29,b_n_std,0.5257112770532442,0.059999543702587275,0.029999771851293638,0.1576161666049306
30,g_mean,0.5048092454201492,0.01891011221821495,0.009455056109107475,0.04511650198520484
31,g_std,0.5041500542969797,0.07901352928332,0.03950676464166,0.19893743744105313
32,g_n_mean,0.47786074490540575,0.02863466471592776,0.01431733235796388,0.06271878570833395
33,g_n_std,0.5330015866757738,0.031446701568356765,0.015723350784178382,0.08279025420563157
34,t_mean,0.5382656150459403,0.05938818623551131,0.029694093117755654,0.15730160703607943
35,t_std,0.5557250407603544,0.023995492677889235,0.011997746338944617,0.05775884539929477
36,t_n_mean,0.5266601173070329,0.047100671951440645,0.023550335975720323,0.11748501186703425
37,t_n_std,0.5030291545981201,0.04580774005790269,0.022903870028951345,0.11018184206824244
38,d_mean,0.4738013283336021,0.08216712579875789,0.04108356289937894,0.19993140442578644
39,d_std,0.521544192932655,0.027286231481761614,0.013643115740880807,0.07622033779186865
40,d_n_mean,0.43692269727646055,0.008442441328347951,0.004221220664173976,0.019753099380517503
41,d_n_std,0.46305721879329065,0.05707148816658594,0.02853574408329297,0.16022554224801416
42,a_n_mean,0.44488583184639086,0.031619576305558485,0.015809788152779242,0.08295952382410465
43,a_n_std,0.4961639526167284,0.0480037700198807,0.02400188500994035,0.12391123825096823
44,a_mean,0.5312906810966271,0.04137885586827221,0.020689427934136105,0.09682951255984962
45,a_std,0.539827113516778,0.030197578501944784,0.015098789250972392,0.07775153878287433
46,CNV_mean,0.5208448326367222,0.04145497198868326,0.02072748599434163,0.10042010520790379
47,CNV_std,0.49567168535737277,0.046895749259536955,0.023447874629768477,0.11911492429763265
48,P1_mean,0.5458003089227049,0.06075428774099862,0.03037714387049931,0.16939005762538217
49,P1_std,0.5059805495340628,0.04935293165174735,0.024676465825873677,0.11895395160262612
50,P3a_mean,0.4869329925300442,0.026556972739239786,0.013278486369619893,0.06775459247369364
51,P3a_std,0.4661497165496367,0.04051389219701733,0.020256946098508664,0.11166261952778822
52,P3b_mean,0.5038093101916833,0.0396583387674144,0.0198291693837072,0.11065571546433922
53,P3b_std,0.5054582534078973,0.026008067164370527,0.013004033582185263,0.07053724640235048
