,markers,p_value,AUC,Rank_Biserial,Cliffs_Delta,p_corrected,significant
0,wSMI_1_mean,0.963226318359375,0.4429065743944637,-0.48096885813148793,0.05882352941176472,0.9814003998378538,p > 0.05
1,wSMI_1_std,0.328948974609375,0.4878892733564014,-0.6193771626297577,0.2941176470588236,0.9662017822265625,p > 0.05
2,wSMI_2_mean,0.4037628173828125,0.41868512110726647,-0.5986159169550174,-0.05882352941176472,0.9662017822265625,p > 0.05
3,wSMI_2_std,0.644134521484375,0.44982698961937717,-0.5432525951557093,0.41176470588235303,0.9662017822265625,p > 0.05
4,wSMI_4_mean,0.926513671875,0.4913494809688581,-0.4878892733564014,-0.17647058823529416,0.9814003998378538,p > 0.05
5,wSMI_4_std,0.3778228759765625,0.4775086505190312,-0.6055363321799307,0.17647058823529416,0.9662017822265625,p > 0.05
6,wSMI_8_mean,0.2841644287109375,0.4602076124567474,-0.6332179930795847,0.41176470588235303,0.9662017822265625,p > 0.05
7,wSMI_8_std,0.644134521484375,0.5190311418685121,-0.5432525951557093,-0.17647058823529416,0.9662017822265625,p > 0.05
8,p_e_1_mean,0.5790557861328125,0.5121107266435986,-0.5570934256055363,-0.17647058823529416,0.9662017822265625,p > 0.05
9,p_e_1_std,0.54766845703125,0.46020761245674746,-0.5640138408304498,0.05882352941176472,0.9662017822265625,p > 0.05
10,p_e_2_mean,0.644134521484375,0.48788927335640137,-0.5432525951557093,0.2941176470588236,0.9662017822265625,p > 0.05
11,p_e_2_std,0.8899688720703125,0.5259515570934256,-0.4948096885813149,-0.2941176470588235,0.9814003998378538,p > 0.05
12,p_e_4_mean,0.4037628173828125,0.5294117647058824,-0.5986159169550174,-0.05882352941176472,0.9662017822265625,p > 0.05
13,p_e_4_std,0.5790557861328125,0.45674740484429066,-0.5570934256055363,0.17647058823529416,0.9662017822265625,p > 0.05
14,p_e_8_mean,0.54766845703125,0.49134948096885817,-0.5640138408304498,-0.05882352941176472,0.9662017822265625,p > 0.05
15,p_e_8_std,0.54766845703125,0.4325259515570934,-0.5640138408304498,0.05882352941176472,0.9662017822265625,p > 0.05
16,k_mean,0.2068939208984375,0.5224913494809689,-0.6608996539792388,-0.05882352941176472,0.9662017822265625,p > 0.05
17,k_std,0.2633209228515625,0.38408304498269896,-0.6401384083044983,0.41176470588235303,0.9662017822265625,p > 0.05
18,se_mean,0.079681396484375,0.5432525951557093,-0.7301038062283737,-0.17647058823529416,0.9662017822265625,p > 0.05
19,se_std,0.926513671875,0.5121107266435986,-0.4878892733564014,-0.05882352941176472,0.9814003998378538,p > 0.05
20,msf_mean,0.079681396484375,0.5674740484429065,-0.7301038062283737,-0.4117647058823529,0.9662017822265625,p > 0.05
21,msf_std,0.17425537109375,0.5674740484429066,-0.6747404844290658,-0.2941176470588235,0.9662017822265625,p > 0.05
22,sef90_mean,0.352874755859375,0.532871972318339,-0.6124567474048443,-0.05882352941176472,0.9662017822265625,p > 0.05
23,sef90_std,0.644134521484375,0.5224913494809689,-0.5432525951557093,-0.05882352941176472,0.9662017822265625,p > 0.05
24,sef95_mean,0.4873809814453125,0.5294117647058825,-0.5778546712802768,-0.17647058823529416,0.9662017822265625,p > 0.05
25,sef95_std,0.7466583251953125,0.5363321799307958,-0.5224913494809689,0.05882352941176472,0.9814003998378538,p > 0.05
26,b_mean,0.328948974609375,0.5224913494809689,-0.6193771626297577,-0.05882352941176472,0.9662017822265625,p > 0.05
27,b_std,0.644134521484375,0.45674740484429066,-0.5432525951557093,-0.05882352941176472,0.9662017822265625,p > 0.05
28,b_n_mean,0.044769287109375,0.5605536332179931,-0.7647058823529411,-0.5294117647058824,0.9662017822265625,p < 0.05 uncorrected
29,b_n_std,0.7466583251953125,0.546712802768166,-0.5224913494809689,0.05882352941176472,0.9814003998378538,p > 0.05
30,g_mean,0.8899688720703125,0.5086505190311419,-0.4948096885813149,0.05882352941176472,0.9814003998378538,p > 0.05
31,g_std,0.8899688720703125,0.5536332179930795,-0.4948096885813149,-0.05882352941176472,0.9814003998378538,p > 0.05
32,g_n_mean,0.7466583251953125,0.5397923875432525,-0.5224913494809689,0.05882352941176472,0.9814003998378538,p > 0.05
33,g_n_std,0.2633209228515625,0.5017301038062284,-0.6401384083044983,-0.17647058823529416,0.9662017822265625,p > 0.05
34,t_mean,0.10888671875,0.4359861591695502,-0.7093425605536332,0.2941176470588236,0.9662017822265625,p > 0.05
35,t_std,0.4873809814453125,0.4186851211072664,-0.5778546712802768,0.17647058823529416,0.9662017822265625,p > 0.05
36,t_n_mean,0.02667236328125,0.35986159169550175,-0.7923875432525952,0.41176470588235303,0.9662017822265625,p < 0.05 uncorrected
37,t_n_std,0.2246856689453125,0.411764705882353,-0.6539792387543253,0.41176470588235303,0.9662017822265625,p > 0.05
38,d_mean,0.54766845703125,0.44290657439446374,-0.5640138408304498,0.05882352941176472,0.9662017822265625,p > 0.05
39,d_std,0.4037628173828125,0.6055363321799307,-0.5986159169550174,-0.17647058823529416,0.9662017822265625,p > 0.05
40,d_n_mean,0.7819061279296875,0.49134948096885817,-0.5155709342560554,0.05882352941176472,0.9814003998378538,p > 0.05
41,d_n_std,0.7466583251953125,0.49134948096885817,-0.5224913494809689,0.05882352941176472,0.9814003998378538,p > 0.05
42,a_n_mean,0.963226318359375,0.5121107266435986,-0.48096885813148793,-0.05882352941176472,0.9814003998378538,p > 0.05
43,a_n_std,0.8536376953125,0.46366782006920415,-0.5017301038062284,-0.05882352941176472,0.9814003998378538,p > 0.05
44,a_mean,1.0,0.5224913494809689,-0.47404844290657444,-0.05882352941176472,1.0,p > 0.05
45,a_std,0.963226318359375,0.45328719723183397,-0.48096885813148793,-0.05882352941176472,0.9814003998378538,p > 0.05
46,CNV_mean,0.8175811767578125,0.4982698961937716,-0.5086505190311419,0.05882352941176472,0.9814003998378538,p > 0.05
47,CNV_std,0.7819061279296875,0.4878892733564014,-0.5155709342560554,-0.05882352941176472,0.9814003998378538,p > 0.05
48,P1_mean,0.677703857421875,0.44982698961937717,-0.5363321799307958,0.05882352941176472,0.9814003998378538,p > 0.05
49,P1_std,0.10888671875,0.6885813148788926,-0.7093425605536332,-0.2941176470588235,0.9662017822265625,p > 0.05
50,P3a_mean,0.4585723876953125,0.532871972318339,-0.5847750865051904,-0.17647058823529416,0.9662017822265625,p > 0.05
51,P3a_std,0.2633209228515625,0.5432525951557093,-0.6401384083044983,-0.05882352941176472,0.9662017822265625,p > 0.05
52,P3b_mean,0.4037628173828125,0.4186851211072664,-0.5986159169550174,0.2941176470588236,0.9662017822265625,p > 0.05
53,P3b_std,0.51708984375,0.5640138408304498,-0.5709342560553633,-0.17647058823529416,0.9662017822265625,p > 0.05
